"Africa","Antarctica","Asia","Europe","North America","Oceania","Seven seas (open ocean)","South America"
0,0,0,0,10,0,0,0
0,0,0,0,10,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,5,0,0,0
0,0,0,0,28,0,0,0
0,0,0,0,14,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,17,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,83,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,13,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,50,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,5,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,47,0,0,0
0,0,0,0,201,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,50,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,18,0,0,0
0,0,0,0,81,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,7,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,67,0,0,0
0,0,0,0,53,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,43,0,0,0
0,0,0,0,5,0,0,0
0,0,0,0,49,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,36,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,70,0,0,0
0,0,0,0,253,0,0,0
0,0,0,0,13,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,177,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,45,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,13,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,23,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,430,0,0,0
0,0,0,0,43,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,43,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,117,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,14,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,28,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,43,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,21,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,29,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,39,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,392,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,7,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,89,0,0,0
0,0,0,0,7,0,0,0
0,0,0,0,123,0,0,0
0,0,0,0,14,0,0,0
0,0,0,0,10,0,0,0
0,0,0,0,358,0,0,0
0,0,0,0,15,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,137,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,26,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,10,0,0,0
0,0,0,0,33,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,12,0,0,0
0,0,0,0,206,0,0,0
0,0,0,0,11,0,0,0
0,0,0,0,40,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,18,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,284,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,5,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,215,0,0,0
0,0,0,0,17,0,0,0
0,0,0,0,262,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,20,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,123,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,15,0,0,0
0,0,0,0,94,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,7,0,0,0
0,0,0,0,120,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,8,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,21,0,0,0
0,0,0,0,32,0,0,0
0,0,0,0,37,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,116,0,0,0
0,0,0,0,5,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,88,0,0,0
0,0,0,0,17,0,0,0
0,0,0,0,9,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,13,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,39,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,99,0,0,0
0,0,0,0,31,0,0,0
0,0,0,0,6,0,0,0
0,0,0,0,0,639,0,0
0,0,0,0,0,52,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,1216,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,1319,0,0
0,0,0,0,0,111,0,0
0,0,0,0,0,2426,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1112,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,30,0,0
0,0,0,0,0,132,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,118,0,0
0,0,0,0,0,48,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,53,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,107,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,182,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,132,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,85,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,471,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1282,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,69,0,0
0,0,0,0,0,66,0,0
0,0,0,0,0,2595,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,863,0,0
0,0,0,0,0,40,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,45,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,82,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,31,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,41,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,219,0,0
0,0,0,0,0,53,0,0
0,0,0,0,0,144,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,112,0,0
0,0,0,0,0,29,0,0
0,0,0,0,0,32,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,1081,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,246,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,17,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,168,0,0
0,0,0,0,0,68,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,72,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,26,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,61,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,425,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,45,0,0
0,0,0,0,0,168,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,34,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,215,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,70,0,0
0,0,0,0,0,107,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,40,0,0
0,0,0,0,0,64,0,0
0,0,0,0,0,585,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,166,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,45,0,0
0,0,0,0,0,160,0,0
0,0,0,0,0,125,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,895,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,49,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,216,0,0
0,0,0,0,0,216,0,0
0,0,0,0,0,77,0,0
0,0,0,0,0,343,0,0
0,0,0,0,0,147,0,0
0,0,0,0,0,183,0,0
0,0,0,0,0,309,0,0
0,0,0,0,0,241,0,0
0,0,0,0,0,153,0,0
0,0,0,0,0,68,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,46,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,161,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,53,0,0
0,0,0,0,0,108,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,41,0,0
0,0,0,0,0,34,0,0
0,0,0,0,0,33,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,44,0,0
0,0,0,0,0,39,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,486,0,0
0,0,0,0,0,358,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,71,0,0
0,0,0,0,0,109,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,42,0,0
0,0,0,0,0,67,0,0
0,0,0,0,0,46,0,0
0,0,0,0,0,124,0,0
0,0,0,0,0,713,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,26,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,48,0,0
0,0,0,0,0,56,0,0
0,0,0,0,0,17,0,0
0,0,0,0,0,105,0,0
0,0,0,0,0,923,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,123,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,272,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,27,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,13,0,1
0,0,0,0,0,54,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,55,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,52,0,0
0,0,0,0,0,132,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,27,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,102,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,131,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,184,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,133,0,0
0,0,0,0,0,75,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,45,0,0
0,0,0,0,0,110,0,0
0,0,0,0,0,40,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,59,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,51,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,134,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,46,0,0
0,0,0,0,0,49,0,0
0,0,0,0,0,105,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,150,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,116,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,80,0,0
0,0,0,0,0,229,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,94,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,183,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,17,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,166,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,32,0,0
0,0,0,0,0,123,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,90,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,52,0,0
0,0,0,0,0,122,0,0
0,0,0,0,0,47,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,47,0,0
0,0,0,0,0,61,0,0
0,0,0,0,0,17,0,0
0,0,0,0,0,27,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,26,0,0
0,0,0,0,0,61,0,0
0,0,0,0,0,131,0,0
0,0,0,0,0,23,0,0
0,0,0,0,0,712,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,39,0,0
0,0,0,0,0,87,0,0
0,0,0,0,0,48,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,88,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,48,0,0
0,0,0,0,0,840,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,328,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,105,0,0
0,0,0,0,0,93,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,48,0,0
0,0,0,0,0,33,0,0
0,0,0,0,0,92,0,0
0,0,0,0,0,17,0,0
0,0,0,0,0,38,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,124,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,117,0,0
0,0,0,0,0,168,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,260,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,191,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,85,0,0
0,0,0,0,0,1285,0,0
0,0,0,0,0,38,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,349,0,0
0,0,0,0,0,1542,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,180,0,0
0,0,0,0,0,30,0,0
0,0,0,0,0,41,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,32,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,125,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,1473,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,59,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,295,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2569,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,692,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,84,0,0
0,0,0,0,0,59,0,0
0,0,0,0,0,84,0,0
0,0,0,0,0,526,0,0
0,0,0,0,0,6,0,1
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,61,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,44,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,37,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,105,0,0
0,0,0,0,0,158,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,112,0,0
0,0,0,0,0,851,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,108,0,0
0,0,0,0,0,731,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,321,0,0
0,0,0,0,0,105,0,0
0,0,0,0,0,75,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,143,0,0
0,0,0,0,0,75,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,55,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,1138,0,0
0,0,0,0,0,38,0,0
0,0,0,0,0,203,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,51,0,0
0,0,0,0,0,65,0,0
0,0,0,0,0,14,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,79,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,49,0,0
0,0,0,0,0,139,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,86,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,213,0,0
0,0,0,0,0,126,0,0
0,0,0,0,0,2502,0,0
0,0,0,0,0,39,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,140,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,367,0,0
0,0,0,0,0,107,0,0
0,0,0,0,0,74,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,549,0,0
0,0,0,0,0,46,0,0
0,0,0,0,0,62,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,709,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,81,0,0
0,0,0,0,0,272,0,0
0,0,0,0,0,287,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,104,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,42,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,800,0,0
0,0,0,0,0,433,0,0
0,0,0,0,0,95,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,39,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,22,0,0
0,0,0,0,0,55,0,0
0,0,0,0,0,12,0,0
0,0,0,0,0,1729,0,0
0,0,0,0,0,188,0,0
0,0,0,0,0,83,0,0
0,0,0,0,0,229,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,135,0,0
0,0,0,0,0,818,0,0
0,0,0,0,0,341,0,0
0,0,0,0,0,423,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,98,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,23,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,10,0,0
0,0,0,0,0,672,0,0
0,0,0,0,0,900,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,50,0,0
0,0,0,0,0,53,0,0
0,0,0,0,0,850,0,0
0,0,0,0,0,24,0,0
0,0,0,0,0,7,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,257,0,0
0,0,0,0,0,2596,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,13,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,1143,0,0
0,0,0,0,0,86,0,0
0,0,0,0,0,106,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,569,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,738,0,0
0,0,0,0,0,16,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1469,0,0
0,0,0,0,0,4,0,0
0,0,0,0,0,18,0,0
0,0,0,0,0,148,0,0
0,0,0,0,0,191,0,0
0,0,0,0,0,27,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,109,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,8,0,0
0,0,0,0,0,54,0,0
0,0,0,0,0,59,0,0
0,0,0,0,0,11,0,0
0,0,0,0,0,68,0,0
0,0,0,0,0,1438,0,0
0,0,0,0,0,99,0,0
0,0,0,0,0,43,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,79,0,0
0,0,0,0,0,292,0,0
0,0,0,0,0,135,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,748,0,0
0,0,0,0,0,19,0,0
0,0,0,0,0,239,0,0
0,0,0,0,0,114,0,0
0,0,0,0,0,125,0,0
0,0,0,0,0,36,0,0
0,0,0,0,0,27,0,0
0,0,0,0,0,34,0,0
0,0,0,0,0,41,0,0
0,0,0,0,0,175,0,0
